Nº,CLIENTE,MARCA,CLASE,CERTIFICADO,VENCIMIENTO,ESTADO,OBSERVACIONES
1,HIPPERMERCADOS TOTTUS S.A.,360°,25,91130,22/08/2023,,plazo para renovar es hasta el 22/02/2014
2,HIPPERMERCADOS TOTTUS S.A.,DULCE VIÑEDO,33,108810,14/09/2015,,
3,HIPPERMERCADOS TOTTUS S.A.,360º ADVENTURE,25,114959,31/03/2016,,
4,HIPPERMERCADOS TOTTUS S.A.,360º ADVENTURE,11,107755,05/08/2015,,
5,HIPPERMERCADOS TOTTUS S.A.,360º ADVENTURE,18,107854,09/08/2015,,
6,HIPPERMERCADOS TOTTUS S.A.,360º ADVENTURE,22,107756,05/08/2015,,
7,HIPPERMERCADOS TOTTUS S.A.,BABY CAT,25,107852,09/08/2015,,
8,HIPPERMERCADOS TOTTUS S.A.,BABY CAT,28,107853,09/08/2015,,
9,HIPPERMERCADOS TOTTUS S.A.,,3,108523,01/09/2015,,
10,HIPPERMERCADOS TOTTUS S.A.,,16,108525,01/09/2015,,
11,HIPPERMERCADOS TOTTUS S.A.,,21,108526,01/09/2015,,
12,HIPPERMERCADOS TOTTUS S.A.,,29,108524,01/09/2015,,
13,HIPPERMERCADOS TOTTUS S.A.,,30,108527,01/09/2015,,
14,HIPPERMERCADOS TOTTUS S.A.,360º BIKES,12,121465,10/10/2016,,
15,HIPPERMERCADOS TOTTUS S.A.,360º REFLEX,25,114958,31/03/2016,,
16,HIPPERMERCADOS TOTTUS S.A.,,21,123091,22/11/2016,,
17,HIPPERMERCADOS TOTTUS S.A.,,22,123090,22/11/2016,,
18,HIPPERMERCADOS TOTTUS S.A.,,11,123094,22/11/2016,,
19,HIPPERMERCADOS TOTTUS S.A.,,19,123092,22/11/2016,,
20,HIPPERMERCADOS TOTTUS S.A.,,17,123093,22/11/2016,,
21,HIPPERMERCADOS TOTTUS S.A.,,8,123095,22/11/2016,,
22,HIPPERMERCADOS TOTTUS S.A.,,5,123097,22/11/2016,,
23,HIPPERMERCADOS TOTTUS S.A.,,6,123096,22/11/2016,,
24,HIPPERMERCADOS TOTTUS S.A.,,34,123089,22/11/2016,,
25,HIPPERMERCADOS TOTTUS S.A.,,4,123088,22/11/2016,,
26,HIPPERMERCADOS TOTTUS S.A.,,2,123087,22/11/2016,,
27,HIPPERMERCADOS TOTTUS S.A.,,3,128568,27/06/2017,,
28,HIPPERMERCADOS TOTTUS S.A.,,29,116730,28/06/2016,,
29,HIPPERMERCADOS TOTTUS S.A.,,30,116580,26/06/2016,,
30,HIPPERMERCADOS TOTTUS S.A.,,2,126966,07/05/2017,,
31,HIPPERMERCADOS TOTTUS S.A.,,3,127195,14/05/2017,,
32,HIPPERMERCADOS TOTTUS S.A.,,8,126970,07/05/2017,,
33,HIPPERMERCADOS TOTTUS S.A.,,6,126969,07/05/2017,,
34,HIPPERMERCADOS TOTTUS S.A.,,5,126968,07/05/2017,,
35,HIPPERMERCADOS TOTTUS S.A.,,4,126967,07/05/2017,,
36,HIPPERMERCADOS TOTTUS S.A.,,14,126972,07/05/2017,,
37,HIPPERMERCADOS TOTTUS S.A.,,12,127110,10/05/2017,,
38,HIPPERMERCADOS TOTTUS S.A.,,11,126971,07/05/2017,,
39,HIPPERMERCADOS TOTTUS S.A.,,9,127196,14/05/2017,,
40,HIPPERMERCADOS TOTTUS S.A.,,18,126975,07/05/2017,,
41,HIPPERMERCADOS TOTTUS S.A.,,17,126974,07/05/2017,,
42,HIPPERMERCADOS TOTTUS S.A.,,16,126973,07/05/2017,,
43,HIPPERMERCADOS TOTTUS S.A.,,25,127198,14/05/2017,,
44,HIPPERMERCADOS TOTTUS S.A.,,24,127197,14/05/2017,,
45,HIPPERMERCADOS TOTTUS S.A.,,22,126979,07/05/2017,,
46,HIPPERMERCADOS TOTTUS S.A.,,21,126978,07/05/2017,,
47,HIPPERMERCADOS TOTTUS S.A.,,20,126977,07/05/2017,,
48,HIPPERMERCADOS TOTTUS S.A.,,19,126976,07/05/2017,,
49,HIPPERMERCADOS TOTTUS S.A.,,30,127112,10/05/2017,,
50,HIPPERMERCADOS TOTTUS S.A.,,29,127111,11/05/2017,,
51,HIPPERMERCADOS TOTTUS S.A.,,28,126980,04/05/2017,,
52,HIPPERMERCADOS TOTTUS S.A.,,27,127200,14/05/2017,,
53,HIPPERMERCADOS TOTTUS S.A.,,26,127199,14/05/2017,,
54,HIPPERMERCADOS TOTTUS S.A.,,43,46087,07/05/2017,,
55,HIPPERMERCADOS TOTTUS S.A.,,39,46086,07/05/2017,,
56,HIPPERMERCADOS TOTTUS S.A.,,38,46085,07/05/2017,,
57,HIPPERMERCADOS TOTTUS S.A.,,36,46084,07/05/2017,,
58,HIPPERMERCADOS TOTTUS S.A.,,35,46083,07/05/2017,,
59,HIPPERMERCADOS TOTTUS S.A.,,34,126981,07/05/2017,,
60,HIPPERMERCADOS TOTTUS S.A.,,33,127115,10/05/2017,,
61,HIPPERMERCADOS TOTTUS S.A.,,32,127114,10/05/2017,,
62,HIPPERMERCADOS TOTTUS S.A.,,31,127113,10/05/2017,,
63,HIPPERMERCADOS TOTTUS S.A.,,29,152814,22/05/2019,,
64,HIPPERMERCADOS TOTTUS S.A.,,30,152815,22/05/2019,,
65,HIPPERMERCADOS TOTTUS S.A.,,31,152816,22/05/2019,,
66,HIPPERMERCADOS TOTTUS S.A.,,32,152817,22/05/2019,,
67,HIPPERMERCADOS TOTTUS S.A.,,33,152818,22/05/2019,,
68,HIPPERMERCADOS TOTTUS S.A.,,29,152819,22/05/2019,,
69,HIPPERMERCADOS TOTTUS S.A.,,30,154554,30/06/2019,,
70,HIPPERMERCADOS TOTTUS S.A.,,31,152820,22/05/2019,,
71,HIPPERMERCADOS TOTTUS S.A.,,32,152821,22/05/2019,,
72,HIPPERMERCADOS TOTTUS S.A.,,33,152822,22/05/2019,,
73,HIPPERMERCADOS TOTTUS S.A.,,"29, 30, 31, 32, 33",72,14/07/2019,,
74,HIPPERMERCADOS TOTTUS S.A.,,30,167158,18/08/2020,,
75,HIPPERMERCADOS TOTTUS S.A.,,32,162434,22/03/2020,,
76,HIPPERMERCADOS TOTTUS S.A.,,"16,29, 30",1180,06/07/2020,,
77,HIPPERMERCADOS TOTTUS S.A.,,5,188366,05/06/2022,,
78,HIPPERMERCADOS TOTTUS S.A.,SUEÑOS DE BEBÉ,21,166070,16/07/2020,,
79,HIPPERMERCADOS TOTTUS S.A.,SUEÑOS DE BEBÉ,3,166069,16/07/2020,,
80,HIPPERMERCADOS TOTTUS S.A.,SUEÑOS DE BEBÉ,5,165801,09/07/2020,,
81,HIPPERMERCADOS TOTTUS S.A.,,30,166824,11/08/2020,,
82,HIPPERMERCADOS TOTTUS S.A.,,30,183146,28/12/2021,,
83,HIPPERMERCADOS TOTTUS S.A.,LA PANADERÍA TOTTUS,30,182440,09/12/2021,,
84,HIPPERMERCADOS TOTTUS S.A.,AUTODELI,31,174217,22/03/2021,,
85,HIPPERMERCADOS TOTTUS S.A.,AUTODELI,30,174634,05/04/2021,,
